lon,lat,lab_km
152.1443,-43.9390,109.53
152.3942,-43.9390,107.94
152.6440,-43.9390,106.46
152.8938,-43.9390,105.21
153.1437,-43.9390,104.24
153.3935,-43.9390,103.56
153.6433,-43.9390,103.12
153.8931,-43.9390,102.85
154.1430,-43.9390,102.71
154.3928,-43.9390,102.62
154.6426,-43.9390,102.53
154.8924,-43.9390,102.40
155.1423,-43.9390,102.21
155.3921,-43.9390,101.94
155.6419,-43.9390,101.63
155.8917,-43.9390,101.28
110.1735,-43.6893,65.05
110.4233,-43.6893,65.08
110.6731,-43.6893,65.10
110.9230,-43.6893,65.10
111.1728,-43.6893,65.09
111.4226,-43.6893,65.09
111.6724,-43.6893,65.12
111.9223,-43.6893,65.22
